Date,NVDA,GOOGL,AAPL,META
2015-01-02,0.48306557536125183,26.319652557373047,24.261049270629883,78.02196502685547
2015-01-05,0.4749063551425934,25.818161010742188,23.57756996154785,76.76885223388672
2015-01-06,0.4605080187320709,25.18098258972168,23.579795837402344,75.7345199584961
2015-01-07,0.4593082070350647,25.10692596435547,23.910436630249023,75.7345199584961
2015-01-08,0.4765862822532654,25.19440269470215,24.82912826538086,77.7534408569336
2015-01-09,0.4785059690475464,24.88674545288086,24.855754852294922,77.31583404541016
2015-01-12,0.4725068509578705,24.704837799072266,24.24329376220703,76.30140686035156
2015-01-13,0.47178685665130615,24.9404239654541,24.458541870117188,76.03286743164062
2015-01-14,0.47370654344558716,25.145692825317383,24.36534881591797,75.86380767822266
2015-01-15,0.47034701704978943,25.050264358520508,23.704059600830078,73.64598083496094
2015-01-16,0.4789859652519226,25.3708438873291,23.519880294799805,74.76980590820312
2015-01-20,0.4804258942604065,25.34499740600586,24.125682830810547,75.82402038574219
2015-01-21,0.4871450662612915,25.864383697509766,24.309871673583984,76.32129669189453
2015-01-22,0.4955442249774933,26.70484161376953,24.94229507446289,77.22633361816406
2015-01-23,0.49698400497436523,26.935956954956055,25.071008682250977,77.40534210205078
2015-01-26,0.49482429027557373,26.676013946533203,25.09763526916504,77.0771484375
2015-01-27,0.4710669219493866,25.904144287109375,24.218881607055664,75.36653900146484
2015-01-28,0.46338772773742676,25.4687557220459,25.588054656982422,75.82402038574219
2015-01-29,0.474666565656662,25.508516311645508,26.384689331054688,77.57441711425781
2015-01-30,0.4607480466365814,26.717267990112305,25.998577117919922,75.4958267211914
2015-02-02,0.47082701325416565,26.45136260986328,26.324779510498047,74.5808334350586
2015-02-03,0.482585608959198,26.50603675842285,26.32921028137207,74.98860931396484
2015-02-04,0.4837854206562042,26.14818000793457,26.53114891052246,75.21735382080078
2015-02-05,0.491704523563385,26.333568572998047,26.720518112182617,75.19746398925781
2015-02-06,0.4895448684692383,26.534860610961914,26.495512008666992,74.06369018554688
2015-02-09,0.48906487226486206,26.30623435974121,26.671506881713867,74.03385162353516
2015-02-10,0.5027434825897217,26.84699058532715,27.18390655517578,74.77974700927734
2015-02-11,0.4993836581707001,26.739633560180664,27.821060180664062,76.09255981445312
2015-02-12,0.5351396799087524,27.137746810913086,28.173059463500977,75.81407928466797
2015-02-13,0.5353796482086182,27.39371109008789,28.311182022094727,75.32675170898438
2015-02-17,0.537059485912323,27.088045120239258,28.478267669677734,75.18751525878906
2015-02-18,0.5308201313018799,26.970748901367188,28.67654800415039,76.29146575927734
2015-02-19,0.5322598218917847,27.15961456298828,28.616392135620117,78.98667907714844
2015-02-20,0.5360994935035706,26.92850112915039,28.850317001342773,79.46405792236328
2015-02-23,0.5317800641059875,26.59052848815918,29.630041122436523,78.40982818603516
2015-02-24,0.5374412536621094,26.77193832397461,29.44514274597168,78.02196502685547
2015-02-25,0.5333459973335266,27.203351974487305,28.6921443939209,79.12590789794922
2015-02-26,0.5347912311553955,27.797786712646484,29.05527687072754,79.97127532958984
2015-02-27,0.5314188003540039,27.96379280090332,28.618619918823242,78.53912353515625
2015-03-02,0.5444270372390747,28.57959747314453,28.758974075317383,79.31487274169922
2015-03-03,0.5343093872070312,28.76697540283203,28.81912612915039,79.16569519042969
2015-03-04,0.5403320789337158,28.74411392211914,28.636442184448242,80.45860290527344
2015-03-05,0.5506905317306519,28.8981876373291,28.161914825439453,80.76690673828125
2015-03-06,0.5432227253913879,28.47422981262207,28.20425033569336,79.57344818115234
2015-03-09,0.5446681380271912,28.533872604370117,28.32455062866211,79.0065689086914
2015-03-10,0.554063081741333,27.82562255859375,27.73863410949707,77.12688446044922
2015-03-11,0.5511720776557922,27.618858337402344,27.2329158782959,77.14677429199219
2015-03-12,0.5461134910583496,27.891225814819336,27.725263595581055,78.49935150146484
2015-03-13,0.5468361377716064,27.485164642333984,27.533666610717773,77.62415313720703
2015-03-16,0.5533401370048523,27.914587020874023,27.836652755737305,77.64403533935547
2015-03-17,0.5600855350494385,27.714290618896484,28.302274703979492,78.92700958251953
2015-03-18,0.5509313941001892,28.139238357543945,28.620853424072266,80.46854400634766
2015-03-19,0.5593626499176025,28.015478134155273,28.40475082397461,82.29850006103516
2015-03-20,0.565385103225708,28.079099655151367,28.048301696777344,83.34278106689453
2015-03-23,0.5470768213272095,28.0999755859375,28.34014320373535,83.9693374633789
2015-03-24,0.5396091938018799,28.704849243164062,28.224294662475586,84.84454345703125
2015-03-25,0.5068470239639282,28.18099021911621,27.48688316345215,82.46757507324219
2015-03-26,0.5051608085632324,28.013986587524414,27.67848014831543,82.55709075927734
2015-03-27,0.5150377154350281,27.711307525634766,27.457921981811523,82.84550476074219
2015-03-30,0.5172057151794434,27.889734268188477,28.152997970581055,82.74605560302734
2015-03-31,0.5041974782943726,27.569658279418945,27.72080421447754,81.77140045166016
2015-04-01,0.5061244964599609,27.31070899963379,27.680707931518555,81.22439575195312
2015-04-02,0.5073291063308716,26.904146194458008,27.919082641601562,81.11499786376953
2015-04-06,0.522023618221283,27.03536033630371,28.371335983276367,81.9902114868164
2015-04-07,0.5266008973121643,27.080589294433594,28.072805404663086,81.87085723876953
2015-04-08,0.5304550528526306,27.278400421142578,27.981470108032227,81.8310775756836
2015-04-09,0.5427408218383789,27.237646102905273,28.195337295532227,81.72167205810547
2015-04-10,0.5482815504074097,27.263490676879883,28.315637588500977,81.59237670898438
2015-04-13,0.5432227253913879,27.268461227416992,28.25994110107422,82.55709075927734
